existing created real_time user_time sys_time mem_used mem_cum
0 20 0m1.616s 0m0.354s 0m0.443s 1756 52086
500 20 0m1.930s 0m0.358s 0m0.481s 16103 445500
1000 20 0m2.043s 0m0.344s 0m0.505s 16214 836757
1500 20 0m2.109s 0m0.340s 0m0.496s 14085 1231081
2000 20 0m2.127s 0m0.309s 0m0.517s 13858 1621297
2500 20 0m2.043s 0m0.337s 0m0.475s 15815 2006159
3000 20 0m4.822s 0m0.278s 0m0.487s 13454 2387880
3500 20 0m2.628s 0m0.293s 0m0.451s 13177 2754198
4000 20 0m2.582s 0m0.254s 0m0.505s 15243 3107829
4500 20 0m2.131s 0m0.259s 0m0.481s 16355 3416301
5000 20 0m5.689s 0m0.310s 0m0.483s 8039 3747911
5500 20 0m7.031s 0m0.288s 0m0.446s 12663 4113730
