existing created real_time user_time sys_time mem_used mem_cum
0 20 0m2.357s 0m0.344s 0m0.565s 8069 84819
500 20 0m2.969s 0m0.406s 0m0.585s 16227 471536
1000 20 0m6.386s 0m0.406s 0m0.611s 16856 864977
1500 20 0m3.191s 0m0.469s 0m0.566s 16885 1258490
2000 20 0m2.927s 0m0.428s 0m0.669s 15767 1643634
2500 20 0m4.728s 0m0.447s 0m0.683s 16832 2031171
3000 20 0m8.215s 0m0.427s 0m0.709s 15886 2404308
3500 20 0m6.700s 0m0.506s 0m0.692s 13432 2776708
4000 20 0m6.384s 0m0.449s 0m0.737s 12443 3132652
4500 20 0m7.088s 0m0.504s 0m0.764s 14916 3482174
5000 20 0m5.742s 0m0.502s 0m0.727s 14429 3844153
5500 20 0m6.541s 0m0.546s 0m0.739s 14116 4212209
